timestamp,raw_response
2025-08-19 13:25:09,"{
  ""stock_code"": ""PARADEEP"",
  ""instrument_token"": 2493697,
  ""support"": 199.02,
  ""resistance"": 229.28,
  ""volume_threshold"": 9000000,
  ""bollinger"": {
    ""mid_price"": 208.4,
    ""upper_band"": 241.62,
    ""lower_band"": 175.18
  },
  ""macd"": {
    ""signal_line"": 12.921,
    ""histogram"": -2.7109,
    ""ma_fast"": 220.33,
    ""ma_slow"": 208.4,
    ""ma_signal"": 208.4
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Support retained at 199.02 as recent minute data shows price holding above this level."",
    ""Resistance retained at 229.28 due to no breakout in recent minute or daily data."",
    ""Volume threshold maintained at 9000000 as recent volumes remain significantly lower, no surge detected."",
    ""Bollinger Bands unchanged as recent minute data mid, upper, and lower bands align with historical values."",
    ""MACD values retained from historical data due to lack of significant momentum change in recent minutes."",
    ""Signal set to Hold given no strong breakout or reversal signals in recent minute data and stable ADX.""
  ],
  ""last_updated"": ""2025-08-19 13:30:00"",
  ""signal"": ""Hold""
}"
2025-08-19 13:29:15,"{
  ""stock_code"": ""PARADEEP"",
  ""instrument_token"": 2493697,
  ""support"": 199.02,
  ""resistance"": 229.28,
  ""volume_threshold"": 9000000,
  ""bollinger"": {
    ""mid_price"": 208.4,
    ""upper_band"": 241.62,
    ""lower_band"": 175.18
  },
  ""macd"": {
    ""signal_line"": 12.921,
    ""histogram"": -2.7109,
    ""ma_fast"": 220.33,
    ""ma_slow"": 208.4,
    ""ma_signal"": 208.4
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Support retained at 199.02 as recent minute data shows price holding above this level."",
    ""Resistance retained at 229.28 due to no breakout in recent minute or daily data."",
    ""Volume threshold maintained at 9000000 as recent volumes remain significantly lower, no surge detected."",
    ""Bollinger Bands unchanged as recent minute data mid, upper, and lower bands align with historical values."",
    ""MACD values retained from historical data due to lack of significant momentum change in recent minutes."",
    ""Signal set to Hold given no strong breakout or reversal signals in recent minute data and stable ADX.""
  ],
  ""last_updated"": ""2025-08-19 13:30:00"",
  ""signal"": ""Hold""
}"
2025-08-19 13:35:13,"{
  ""stock_code"": ""PARADEEP"",
  ""instrument_token"": 2493697,
  ""support"": 199.02,
  ""resistance"": 229.28,
  ""volume_threshold"": 9000000,
  ""bollinger"": {
    ""mid_price"": 208.4,
    ""upper_band"": 241.62,
    ""lower_band"": 175.18
  },
  ""macd"": {
    ""signal_line"": 12.921,
    ""histogram"": -2.7109,
    ""ma_fast"": 220.33,
    ""ma_slow"": 208.4,
    ""ma_signal"": 208.4
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Support retained at 199.02 as recent minute data shows price holding above this level."",
    ""Resistance retained at 229.28 due to no breakout in recent minute or daily data."",
    ""Volume threshold maintained at 9000000 as recent volumes remain significantly lower, no surge detected."",
    ""Bollinger Bands unchanged as recent minute data mid, upper, and lower bands align with historical values."",
    ""MACD values retained from historical data due to lack of significant momentum change in recent minutes."",
    ""Signal set to Hold given no strong breakout or reversal signals in recent minute data and stable ADX.""
  ],
  ""last_updated"": ""2025-08-19 13:35:00"",
  ""signal"": ""Hold""
}"
2025-08-19 13:39:27,"{
  ""stock_code"": ""PARADEEP"",
  ""instrument_token"": 2493697,
  ""support"": 199.02,
  ""resistance"": 229.28,
  ""volume_threshold"": 9000000,
  ""bollinger"": {
    ""mid_price"": 208.4,
    ""upper_band"": 241.62,
    ""lower_band"": 175.18
  },
  ""macd"": {
    ""signal_line"": 12.921,
    ""histogram"": -2.7109,
    ""ma_fast"": 220.33,
    ""ma_slow"": 208.4,
    ""ma_signal"": 208.4
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Support retained at 199.02 as recent minute data shows price holding above this level."",
    ""Resistance retained at 229.28 due to no breakout in recent minute or daily data."",
    ""Volume threshold maintained at 9000000 as recent volumes remain significantly lower, no surge detected."",
    ""Bollinger Bands unchanged as recent minute data mid, upper, and lower bands align with historical values."",
    ""MACD values retained from historical data due to lack of significant momentum change in recent minutes."",
    ""Signal set to Hold given no strong breakout or reversal signals in recent minute data and stable ADX.""
  ],
  ""last_updated"": ""2025-08-19 13:38:00"",
  ""signal"": ""Hold""
}"
2025-08-19 13:54:19,"{
  ""stock_code"": ""PARADEEP"",
  ""instrument_token"": 2493697,
  ""support"": 199.02,
  ""resistance"": 229.28,
  ""volume_threshold"": 9000000,
  ""bollinger"": {
    ""mid_price"": 208.4,
    ""upper_band"": 241.62,
    ""lower_band"": 175.18
  },
  ""macd"": {
    ""signal_line"": 12.921,
    ""histogram"": -2.7109,
    ""ma_fast"": 220.33,
    ""ma_slow"": 208.4,
    ""ma_signal"": 208.4
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Support retained at 199.02 as recent minute data shows price holding above this level."",
    ""Resistance retained at 229.28 due to no breakout in recent minute or daily data."",
    ""Volume threshold maintained at 9000000 as recent volumes remain significantly lower, no surge detected."",
    ""Bollinger Bands unchanged as recent minute data mid, upper, and lower bands align with historical values."",
    ""MACD values retained from historical data due to lack of significant momentum change in recent minutes."",
    ""Signal set to Hold given no strong breakout or reversal signals in recent minute data and stable ADX.""
  ],
  ""last_updated"": ""2025-08-19 13:53:00"",
  ""signal"": ""Hold""
}"
2025-08-19 15:16:12,"{
  ""stock_code"": ""PARADEEP"",
  ""instrument_token"": 2493697,
  ""support"": 199.02,
  ""resistance"": 229.28,
  ""volume_threshold"": 9000000,
  ""bollinger"": {
    ""mid_price"": 208.4,
    ""upper_band"": 241.62,
    ""lower_band"": 175.18
  },
  ""macd"": {
    ""signal_line"": 12.921,
    ""histogram"": -2.7109,
    ""ma_fast"": 220.33,
    ""ma_slow"": 208.4,
    ""ma_signal"": 208.4
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Support retained at 199.02 as recent minute data shows price holding above this level."",
    ""Resistance retained at 229.28 due to no breakout in recent minute or daily data."",
    ""Volume threshold maintained at 9000000 as recent volumes remain significantly lower, no surge detected."",
    ""Bollinger Bands unchanged as recent minute data mid, upper, and lower bands align with historical values."",
    ""MACD values retained from historical data due to lack of significant momentum change in recent minutes."",
    ""Signal set to Hold given no strong breakout or reversal signals in recent minute data and stable ADX.""
  ],
  ""last_updated"": ""2025-08-19 15:20:00"",
  ""signal"": ""Hold""
}"
2025-08-19 15:20:38,"{
  ""stock_code"": ""PARADEEP"",
  ""instrument_token"": 2493697,
  ""support"": 199.02,
  ""resistance"": 229.28,
  ""volume_threshold"": 9000000,
  ""bollinger"": {
    ""mid_price"": 208.4,
    ""upper_band"": 241.62,
    ""lower_band"": 175.18
  },
  ""macd"": {
    ""signal_line"": 12.921,
    ""histogram"": -2.7109,
    ""ma_fast"": 220.33,
    ""ma_slow"": 208.4,
    ""ma_signal"": 208.4
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Support retained at 199.02 as recent minute data shows price holding above this level."",
    ""Resistance retained at 229.28 due to no breakout in recent minute or daily data."",
    ""Volume threshold maintained at 9000000 as recent volumes remain significantly lower, no surge detected."",
    ""Bollinger Bands unchanged as recent minute data mid, upper, and lower bands align with historical values."",
    ""MACD values retained from historical data due to lack of significant momentum change in recent minutes."",
    ""Signal set to Hold given no strong breakout or reversal signals in recent minute data and stable ADX.""
  ],
  ""last_updated"": ""2025-08-19 15:20:00"",
  ""signal"": ""Hold""
}"
2025-08-22 12:11:13,"{
  ""stock_code"": ""PARADEEP"",
  ""instrument_token"": 2493697,
  ""support"": 221.0,
  ""resistance"": 222.5,
  ""volume_threshold"": 30000,
  ""bollinger"": {
    ""mid_price"": 221.75,
    ""upper_band"": 222.5,
    ""lower_band"": 221.0
  },
  ""macd"": {
    ""signal_line"": 12.921,
    ""histogram"": -2.7109,
    ""ma_fast"": 220.33,
    ""ma_slow"": 208.4,
    ""ma_signal"": 208.4
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Price broke above previous resistance of 221.9, setting new resistance at 222.5 based on recent high."",
    ""Support adjusted to 221.0 reflecting recent lower Bollinger Band and price consolidation."",
    ""Volume threshold increased slightly to 30000 due to recent volume uptick."",
    ""Bollinger Bands updated to reflect recent mid price and band levels.""
  ],
  ""last_updated"": ""2025-08-22 12:15:00"",
  ""signal"": ""Buy"",
  ""forecast"": ""basic_algo""
}"
2025-09-01 14:45:35,"{
  ""stock_code"": ""PARADEEP"",
  ""instrument_token"": 2493697,
  ""ohlcv"": {
    ""time"": ""2025-09-01T14:41:00+00:00"",
    ""open"": 226.78,
    ""high"": 226.9,
    ""low"": 226.69,
    ""close"": 226.74,
    ""volume"": 1599
  },
  ""support"": 219.48,
  ""resistance"": 226.91,
  ""volume_threshold"": 19568,
  ""bollinger"": {
    ""mid_price"": 226.665,
    ""upper_band"": 226.91064201594557,
    ""lower_band"": 226.41935798405447
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Resistance updated to recent upper Bollinger Band at 226.91 due to price testing upper band"",
    ""Bollinger bands updated to latest calculated values from recent data"",
    ""Signal remains 'No Action' as ADX below threshold and MACD histogram slightly positive but weak momentum""
  ],
  ""signal"": ""No Action"",
  ""predicted_targets"": {
    ""1d"": {
      ""ret"": 0.004,
      ""price"": 227.64
    },
    ""1w"": {
      ""ret"": 0.015,
      ""price"": 230.14
    },
    ""3m"": {
      ""ret"": 0.05,
      ""price"": 238.08
    }
  }
}"
2025-09-01 14:53:35,"{
  ""stock_code"": ""PARADEEP"",
  ""instrument_token"": 2493697,
  ""ohlcv"": {
    ""time"": ""2025-09-01 14:50:00+00:00"",
    ""open"": 226.89,
    ""high"": 226.89,
    ""low"": 226.79,
    ""close"": 226.79,
    ""volume"": 3712
  },
  ""support"": 219.48,
  ""resistance"": 227.01,
  ""volume_threshold"": 19568,
  ""bollinger"": {
    ""mid_price"": 226.712,
    ""upper_band"": 227.009,
    ""lower_band"": 226.414
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Resistance adjusted slightly above recent upper Bollinger band to 227.01 based on latest 1-min data high"",
    ""Bollinger bands updated to reflect latest recent data values"",
    ""Signal remains 'No Action' due to ADX below threshold and weak MACD histogram momentum""
  ],
  ""signal"": ""No Action"",
  ""predicted_targets"": {
    ""1d"": {
      ""ret"": 0.004,
      ""price"": 227.70
    },
    ""1w"": {
      ""ret"": 0.015,
      ""price"": 230.20
    },
    ""3m"": {
      ""ret"": 0.05,
      ""price"": 238.13
    }
  }
}"
